Timestamp: 2026-09-17T20:18:26.916Z | Architecture: WITHOUT_FOG | TxHash: 0x09d8f520718578be5247fe2f587196339f39efd282804444c960b3600d64a378 | CID: QmWCvhSzqXGVTqzA7VDfAXrw1ktmV2YWXdAM1tVq4RkhQj | Latency: 74.403 ms | IPFS Storage Time: 71.816 ms | Throughput: 0.0084 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:19:04.607Z | Architecture: WITHOUT_FOG | TxHash: 0xf75616589e557eebb9bb24fb477c97698a3a142e70077c75abacc086154bebdb | CID: QmekdbXrmE6qG6QefNpB27djQZPtecxUyAHhNMgs1tWDNu | Latency: 59.363 ms | IPFS Storage Time: 55.445 ms | Throughput: 0.0085 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:19:30.531Z | Architecture: WITHOUT_FOG | TxHash: 0x9e9c43a03e38da3fb9a584cfbbd3e2d2bc960b63830a3d6dee9ad0edf9f71e4d | CID: QmPmDXDU21Bg1j75KCqEhsSnuGDeHZQXPyEeVAHuC87mRc | Latency: 44.442 ms | IPFS Storage Time: 41.988 ms | Throughput: 0.0086 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:20:06.964Z | Architecture: WITHOUT_FOG | TxHash: 0xf12515931fb2b185b10342e541490f62ac3d9f010585af0bbbd3a7b22076cf9b | CID: QmbX9daNAfzdKSracfBMHstQznRi7zuqwW2DrcshtBvPPa | Latency: 83.677 ms | IPFS Storage Time: 81.826 ms | Throughput: 0.0087 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:20:42.238Z | Architecture: WITHOUT_FOG | TxHash: 0xe8cb428d8bfba3052710ed0155860888ab1a08387fcc56addfb7a3fa9a89891f | CID: QmPNj3meZLRcYFZ9xnAPZYp7XNYxjDy4CGrTkUhuZvGiah | Latency: 91.887 ms | IPFS Storage Time: 89.191 ms | Throughput: 0.0088 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:20:59.996Z | Architecture: WITHOUT_FOG | TxHash: 0x302599cf3122d373dffed660b9e5c1e7d59874edbe4440bb5ea915b6085d222f | CID: QmQXYqeAuQraW61asVLGgTw6EgdVTVVj3cgfzKdXDz8iML | Latency: 114.212 ms | IPFS Storage Time: 110.279 ms | Throughput: 0.0089 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:21:37.220Z | Architecture: WITHOUT_FOG | TxHash: 0xe56e9d6477f3c791bbddf0fbd66428078b499463e4a7c11a776993b61173293c | CID: QmaNR7cGTXMrf4arYfWWZzWoKcnc45Jkf5mkMvxF9oEXuC | Latency: 47.87 ms | IPFS Storage Time: 43.723 ms | Throughput: 0.009 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:22:31.577Z | Architecture: WITHOUT_FOG | TxHash: 0xf1869a4a3ce1d00266e17044a7a49ec0be108da9a16be9a5873d7805ffc3dd47 | CID: QmbX2au5BiVrucihQurg1PEQfaxb3Dn2rTSKADH6MU3oAG | Latency: 67.813 ms | IPFS Storage Time: 65.29 ms | Throughput: 0.0091 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:23:17.573Z | Architecture: WITHOUT_FOG | TxHash: 0x98ee672ff5123759ee7c680bd49734f7b87a6ec0ab7743ae9f6406eb121def34 | CID: Qme8pbuZZerYs4CRxSM5yyCVXvLFgNP5mFPAhNnCBtuK7i | Latency: 78.854 ms | IPFS Storage Time: 76.38 ms | Throughput: 0.0091 TPS | Status: SUCCESS
Timestamp: 2026-09-17T20:23:56.411Z | Architecture: WITHOUT_FOG | TxHash: 0xccd447414d1b192c903944e00ba7cdeec8729719db1f428b95e4ba03a08f8e89 | CID: QmNn6JgWAVgbTmEfHP2ssbVGasr26Xtzmc1SSdb6TmqRyJ | Latency: 71.907 ms | IPFS Storage Time: 69.467 ms | Throughput: 0.0092 TPS | Status: SUCCESS
